1,May 19, 2023 17:31:53.261055455 -03,192.168.0.9,192.168.0.255,,,137,137,,,,,,,,,,,
2,May 19, 2023 17:31:53.261055572 -03,,,,,,,,,,,,,,,,,
3,May 19, 2023 17:31:53.261716518 -03,192.168.0.9,224.0.0.251,,,5353,5353,,,,,NPIA1DC13.local,,,,,,
4,May 19, 2023 17:31:53.262092968 -03,,,,,5353,5353,,,,,NPIA1DC13.local,,,,,,
5,May 19, 2023 17:31:53.262216780 -03,,,,,5353,5353,,,,,,NPIA1DC13.local,47,28,120,,,
6,May 19, 2023 17:31:53.262652096 -03,192.168.0.9,224.0.0.251,,,5353,5353,,,,,NPIA1DC13.local,,,,,,
7,May 19, 2023 17:31:53.262726377 -03,,,,,5353,5353,,,,,NPIA1DC13.local,,,,,,
8,May 19, 2023 17:31:53.263211526 -03,,,,,56551,5355,,,,,NPIA1DC13,,,,,,
9,May 19, 2023 17:31:53.263400478 -03,192.168.0.9,224.0.0.252,,,56551,5355,,,,,NPIA1DC13,,,,,,
10,May 19, 2023 17:31:53.263444226 -03,,,,,,,,,,,,,,,,,
11,May 19, 2023 17:31:53.263806666 -03,,,,,49397,5355,,,,,NPIA1DC13,,,,,,
12,May 19, 2023 17:31:53.263859254 -03,192.168.0.9,224.0.0.252,,,49397,5355,,,,,NPIA1DC13,,,,,,
13,May 19, 2023 17:31:53.269627403 -03,192.168.0.40,239.255.255.250,,,57098,1900,M-SEARCH,239.255.255.250:1900,Google Chrome/113.0.5672.127 Windows,,,,,,,,
14,May 19, 2023 17:31:53.366224274 -03,192.168.0.162,224.0.0.251,,,5353,5353,,,,,,NPIA1DC13.local,47,1,120,,,
15,May 19, 2023 17:31:53.443696328 -03,192.168.0.137,239.255.255.250,,,52159,1900,M-SEARCH,239.255.255.250:1900,Google Chrome/113.0.5672.94 Windows,,,,,,,,
16,May 19, 2023 17:31:53.487533100 -03,,,,,,,,,,,,,,,,,
17,May 19, 2023 17:31:53.487533212 -03,,,,,,,,,,,,,,,,,
18,May 19, 2023 17:31:53.524476830 -03,192.168.0.192,239.255.255.250,,,61477,1900,M-SEARCH,239.255.255.250:1900,Google Chrome/113.0.5672.127 Windows,,,,,,,,
19,May 19, 2023 17:31:53.624730364 -03,,,,,546,547,,,,,,,,,,,
20,May 19, 2023 17:31:53.711388893 -03,192.168.0.228,104.18.3.161,36456,443,,,,,,,,,,,,,
21,May 19, 2023 17:31:53.740870584 -03,104.18.3.161,192.168.0.228,443,36456,,,,,,,,,,,,,
22,May 19, 2023 17:31:53.766462166 -03,,,,,546,547,,,,,,,,,,,
23,May 19, 2023 17:31:53.767863214 -03,192.168.0.29,192.168.0.255,,,137,137,,,,,,,,,,,
24,May 19, 2023 17:31:53.768153038 -03,192.168.0.29,224.0.0.251,,,5353,5353,,,,,NPI3CF023.local,,,,,,
25,May 19, 2023 17:31:53.768236625 -03,,,,,5353,5353,,,,,NPI3CF023.local,,,,,,
26,May 19, 2023 17:31:53.768726822 -03,192.168.0.29,224.0.0.251,,,5353,5353,,,,,NPI3CF023.local,,,,,,
27,May 19, 2023 17:31:53.768726934 -03,,,,,5353,5353,,,,,NPI3CF023.local,,,,,,
28,May 19, 2023 17:31:53.769360903 -03,,,,,51507,5355,,,,,NPI3CF023,,,,,,
29,May 19, 2023 17:31:53.769361012 -03,192.168.0.29,224.0.0.252,,,51507,5355,,,,,NPI3CF023,,,,,,
30,May 19, 2023 17:31:53.769776048 -03,,,,,54841,5355,,,,,NPI3CF023,,,,,,
31,May 19, 2023 17:31:53.769776152 -03,192.168.0.29,224.0.0.252,,,54841,5355,,,,,NPI3CF023,,,,,,
32,May 19, 2023 17:31:53.782149097 -03,,,,,,,,,,,,,,,,,
33,May 19, 2023 17:31:53.902072583 -03,,,,,,,,,,,,,,,,,
34,May 19, 2023 17:31:54.042915937 -03,192.168.0.70,239.255.255.250,,,54227,1900,M-SEARCH,239.255.255.250:1900,Google Chrome/113.0.5672.127 Windows,,,,,,,,
35,May 19, 2023 17:31:54.184834170 -03,,,,,54841,5355,,,,,NPI3CF023,,,,,,
36,May 19, 2023 17:31:54.184834282 -03,,,,,51507,5355,,,,,NPI3CF023,,,,,,
37,May 19, 2023 17:31:54.184834362 -03,192.168.0.29,224.0.0.252,,,54841,5355,,,,,NPI3CF023,,,,,,
38,May 19, 2023 17:31:54.184834445 -03,192.168.0.29,224.0.0.252,,,51507,5355,,,,,NPI3CF023,,,,,,
39,May 19, 2023 17:31:54.270323618 -03,192.168.0.40,239.255.255.250,,,57098,1900,M-SEARCH,239.255.255.250:1900,Google Chrome/113.0.5672.127 Windows,,,,,,,,
