confirmados,obitos,recuperados,ativos,data
271885,17983,106794,147108,2020-05-19
294624,19059,116683,156037,2020-05-20
312761,20128,125960,164080,2020-05-21
334568,21159,135430,174412,2020-05-22
351565,22205,142587,182798,2020-05-23
366033,22863,149911,190634,2020-05-24
378840,23590,153833,197592,2020-05-25
395167,24644,158593,208117,2020-05-26
415366,25705,166647,219576,2020-05-27
443703,26895,177604,233880,2020-05-28
470593,28032,189476,247812,2020-05-29
502914,28896,200892,268714,2020-05-30
516137,29367,206555,278980,2020-05-31
531286,30108,211080,285430,2020-06-01
562963,31473,223638,300546,2020-06-02
589048,32667,238617,312851,2020-06-03
621002,34177,254963,325957,2020-06-04
653103,35253,266940,343805,2020-06-05
676893,36054,277149,359767,2020-06-06
694881,36530,283952,371351,2020-06-07
712219,37393,378257,292021,2020-06-08
743917,38586,396737,304360,2020-06-09
777707,39824,413916,318820,2020-06-10
806399,41092,429965,331944,2020-06-11
830681,41935,445123,341859,2020-06-12
851911,42792,459436,348358,2020-06-13
868705,43426,469141,355151,2020-06-14
893322,44190,477709,366603,2020-06-15
930305,45522,490005,387943,2020-06-16
961230,46707,521046,387821,2020-06-17
986750,47946,534580,395814,2020-06-18
1042809,49118,551631,432328,2020-06-19
1106332,50100,576779,440824,2020-06-20
1086536,50683,588118,444632,2020-06-21
1114728,51445,601736,453463,2020-06-22
1154255,52851,627963,465298,2020-06-23
1195288,53955,660469,474332,2020-06-24
1236752,55135,679524,493619,2020-06-25
1281636,56128,702399,516614,2020-06-26
1318556,57159,727715,528882,2020-06-27
1351439,57753,746018,540503,2020-06-28
1372989,58475,757811,552070,2020-06-29
1412669,59792,788318,554129,2020-06-30
1459494,60878,817642,570479,2020-07-01
1503895,62137,957692,477282,2020-07-02
1546935,63350,984615,491292,2020-07-03
1580502,64410,990731,522008,2020-07-04
1605695,64968,1029045,509143,2020-07-05
1630149,65653,1062542,495255,2020-07-06
1676848,66953,1107012,494836,2020-07-07
1722098,68126,1139844,505352,2020-07-08
1765060,69348,1171447,515148,2020-07-09
1809371,70646,1217361,513068,2020-07-10
1844318,71578,1244088,524293,2020-07-11
1867976,72195,1264843,527738,2020-07-12
1890869,73030,1291251,520883,2020-07-13
1933791,74324,1323425,529266,2020-07-14
1973933,75604,1350098,541284,2020-07-15
2017616,76903,1397531,537932,2020-07-16
2052234,78026,1428520,539957,2020-07-17
2077987,78870,1447408,548680,2020-07-18
2101399,79578,1459072,559829,2020-07-19
2124152,80346,1514300,524226,2020-07-20
2171079,81663,1555339,522828,2020-07-21
2237229,82959,1591975,552768,2020-07-22
2294555,84272,1620313,583080,2020-07-23
2351458,85437,1693214,564914,2020-07-24
2398993,86536,1785359,522705,2020-07-25
2421666,87117,1812913,519174,2020-07-26
2449677,87802,1846641,508116,2020-07-27
2503681,89060,1868749,525903,2020-07-28
2559132,90259,1922802,539329,2020-07-29
2617187,91461,1956807,562032,2020-07-30
2670451,92728,2008854,561156,2020-07-31
2711992,93669,2037982,576332,2020-08-01
2736058,94193,2062876,576697,2020-08-02
2756164,94795,2098976,556677,2020-08-03
2812447,96153,2157484,548618,2020-08-04
2868616,97519,2190361,571456,2020-08-05
2922605,98745,2230542,583177,2020-08-06
2972008,99830,2272299,590571,2020-08-07
3018397,100657,2321537,590398,2020-08-08
3041127,101226,2356983,577390,2020-08-09
3067633,102015,2390830,564888,2020-08-10
3118153,103209,2449338,557266,2020-08-11
3173107,104393,2506228,554356,2020-08-12
3233820,105635,2521100,598313,2020-08-13
3283227,106642,2616981,552016,2020-08-14
3320108,107365,2622878,586986,2020-08-15
3343114,107952,2655017,577328,2020-08-16
3367511,108748,2699080,551954,2020-08-17
3416775,110100,2751246,546220,2020-08-18
3465378,111263,2801931,543621,2020-08-19
3508352,112500,2844318,545353,2020-08-20
3540678,113551,2855558,563414,2020-08-21
3586586,114379,2913966,554146,2020-08-22
3608459,114834,2947784,543255,2020-08-23
3631972,115557,2976256,531296,2020-08-24
3678279,116760,3032551,520864,2020-08-25
3726431,117839,3082447,517044,2020-08-26
3768691,118824,3122846,519896,2020-08-27
3812779,119673,3158783,526516,2020-08-28
3850070,120570,3202185,523706,2020-08-29
3864604,120971,3237615,503868,2020-08-30
3914829,121618,3268591,518300,2020-08-31
3959158,122768,3345240,483095,2020-09-01
4005611,123972,3387309,486776,2020-09-02
4052420,124839,3429435,487589,2020-09-03
4091959,125688,3464278,502021,2020-09-04
4125816,126292,3498999,497798,2020-09-05
4140488,126750,3522155,488716,2020-09-06
4150004,127070,3549201,471633,2020-09-07
4168790,127595,3572421,462188,2020-09-08
4205877,128752,3611632,457718,2020-09-09
4246638,129726,3657701,451223,2020-09-10
4288171,130574,3695158,456610,2020-09-11
4318971,131341,3723206,461271,2020-09-12
4332991,131746,3723206,475624,2020-09-13
4353602,132204,3770138,443466,2020-09-14
4388154,133286,3811505,437639,2020-09-15
4425451,134248,3845464,439513,2020-09-16
4461856,135117,3873934,446517,2020-09-17
4501587,135945,3897539,461851,2020-09-18
4531145,136626,3936893,454815,2020-09-19
4546587,136977,3963446,444288,2020-09-20
4564222,137443,3993432,427336,2020-09-21
4599189,138237,4016831,436428,2020-09-22
4631915,139169,4046827,406432,2020-09-23
4663930,139964,4102954,414940,2020-09-24
4696240,140786,4128490,420586,2020-09-25
4720958,141508,4153307,423278,2020-09-26
4734745,141847,4172711,417857,2020-09-27
4751616,142238,4197372,406034,2020-09-28
4784464,143096,4237152,397449,2020-09-29
4817365,144078,4274774,392209,2020-09-30
4853148,144851,4299659,402753,2020-10-01
4885966,145505,4299659,402753,2020-10-02
4908974,146093,4361108,399738,2020-10-03
4917689,146451,4375354,393583,2020-10-04
4943742,146844,4397882,382678,2020-10-05
4975268,147654,4430340,391307,2020-10-06
5006206,148379,4457172,395294,2020-10-07
5033036,149114,4488092,391395,2020-10-08
5060769,149768,4502854,403395,2020-10-09
5084513,150302,4502854,429585,2020-10-10
5096704,150580,4526393,418098,2020-10-11
5105340,150774,4526393,426326,2020-10-12
5118699,151152,4526393,436237,2020-10-13
5146543,151884,4526393,462723,2020-10-14
5176969,152698,4526393,490533,2020-10-15
5205565,153341,4526393,520693,2020-10-16
5226341,153756,4526393,544294,2020-10-17
5238392,153991,4526393,544294,2020-10-18
5254971,154317,4526393,570158,2020-10-19
5278737,154965,4526393,592724,2020-10-20
5304593,155536,4526393,616976,2020-10-21
5329357,156041,4526393,641337,2020-10-22
5359358,156604,4526393,670792,2020-10-23
5384342,156991,4526393,697339,2020-10-24
5396596,157224,4526393,710601,2020-10-25
5415207,157526,4526393,726064,2020-10-26
5445189,158052,4914733,366962,2020-10-27
5473540,158556,4947777,362037,2020-10-28
5500240,159107,4962574,372833,2020-10-29
5524593,159680,4987435,369746,2020-10-30
5537763,159972,5005161,370560,2020-10-31
5547951,160175,5022338,363293,2020-11-01
5556200,160340,5039438,354515,2020-11-02
5570782,160628,5060697,344856,2020-11-03
5594098,161246,5078162,350757,2020-11-04
5617943,161849,5078162,350757,2020-11-05
5638143,162120,5118156,351010,2020-11-06
5655887,162348,5138641,352651,2020-11-07
5666389,162538,5147172,354546,2020-11-08
5679803,162724,5163226,349178,2020-11-09
5726227,162922,5183970,352233,2020-11-10
5752474,163496,5222937,361355,2020-11-11
5786393,164429,5254457,362844,2020-11-12
