   2156 192.168.0.228
    927 Request...
    908 142.250.219.36
    750 104.18.3.161
    160 fe80::121f:74ff:fe3c:b33e...
    138 8.8.8.8
    137 8.8.4.4
    100 192.168.0.166
     99 fe80::121f:74ff:fe3c:b33e.5353..
     97 192.168.0.124
